user_id,item_id
2445,899229
2445,844179
2445,1029743
2445,999613
2445,5569230
2445,993826
2445,893018
2445,1003158
2445,950935
2445,1044078
2445,933835
2445,1043751
2445,1090621
2445,901776
2445,12731447
2445,9677236
2445,976199
2445,7103478
2445,12731583
2445,5587656
2445,861899
2445,945909
2445,1083446
2445,6464147
2445,8357993
2445,968025
2445,897954
2445,1074333
2445,9526794
2445,912817
2445,1070304
2445,1098694
2445,926763
2445,964133
2445,5574045
2445,901067
2445,944486
2445,969568
2445,989239
2445,1020292
2445,839784
2445,913144
2445,1060529
2445,1042544
2445,856818
2445,12262533
2445,994955
2445,9527261
2445,6979545
2445,12257728
148,5568489
148,1003487
148,921952
148,883003
148,5569230
148,8090537
148,1069312
148,5568378
148,6442908
148,825994
148,1126899
148,1129266
148,968992
148,952972
148,10204559
148,12262992
148,9487498
148,972726
148,1138443
148,835058
148,13841744
148,856827
148,913210
148,985160
148,906838
148,1127831
148,1136719
148,7169089
148,1054262
148,934172
148,824931
148,15926844
148,908504
148,962407
148,968687
148,992765
148,858091
148,9677454
148,995151
148,8090509
148,5567715
148,1067494
148,892838
148,12171387
148,13190418
148,904435
148,9487342
148,9677543
148,9677236
148,12351965
537,1116635
537,1065538
537,1128163
537,1124148
537,1072523
537,1004436
537,957013
537,1034176
537,13008227
537,1137775
537,9837076
537,9368403
537,1071821
537,1098435
537,907631
537,897298
537,930666
537,951561
537,829291
537,1126899
537,885863
537,906838
537,1136375
537,1061402
537,852856
537,935317
537,936753
537,827919
537,947662
537,8119004
537,8203354
537,8090537
537,897954
537,13876914
537,9673980
537,839419
537,1005849
537,916122
537,9673380
537,1010590
537,959219
537,6633273
537,1124971
537,1072206
537,978879
537,7168739
537,1091090
537,9835903
537,1051283
537,12781831
916,824193
916,901557
916,1075368
916,6961601
916,1126899
916,1006483
916,5568249
916,847720
916,9483753
916,6602697
916,5569471
916,938463
916,1071733
916,978906
916,966619
916,1081177
916,905840
916,831125
916,8090532
916,854754
916,12263857
916,1029743
916,1106523
916,5569845
916,885863
916,1051211
916,913210
916,9268695
916,5568729
916,825365
916,957164
916,872342
916,952781
916,989919
916,863493
916,1012688
916,5591814
916,895606
916,998119
916,7166865
916,1038663
916,871061
916,1116096
916,1123842
916,6633342
916,5570882
916,1134296
916,9673380
916,9859231
916,12352248
2200,916122
2200,6772833
2200,844179
2200,1106523
2200,823704
2200,10204556
2200,8090521
2200,1044078
2200,5569845
2200,1004906
2200,6961763
2200,9487885
2200,9296919
2200,841220
2200,1011303
2200,1020770
2200,1029743
2200,9677236
2200,1102416
2200,6979485
2200,5566803
2200,860361
2200,5570048
2200,911974
2200,909129
2200,919534
2200,5568489
2200,999858
2200,9707340
2200,6773232
2200,7139529
2200,6391086
2200,1092730
2200,863447
2200,5569230
2200,9796011
2200,8090509
2200,944137
2200,8091550
2200,1085044
2200,1123045
2200,5570109
2200,1050482
2200,1038550
2200,8291322
2200,875415
2200,1053530
2200,12487888
2200,5570199
2200,12301839
1843,870165
1843,849202
1843,7410217
1843,9707240
1843,1058629
1843,5569845
1843,1070820
1843,5588161
1843,5569230
1843,1086727
1843,1122961
1843,1119112
1843,5570383
1843,924262
1843,1021324
1843,1115175
1843,912704
1843,853927
1843,1038985
1843,995151
1843,972487
1843,1081177
1843,5568378
1843,9242918
1843,1064233
1843,928640
1843,6039592
1843,1005820
1843,6463789
1843,942778
1843,929925
1843,1065538
1843,1075470
1843,1112238
1843,1112242
1843,954966
1843,898342
1843,863030
1843,958208
1843,7168996
1843,986417
1843,1122358
1843,825994
1843,957951
1843,1106091
1843,1029743
1843,1106523
1843,5569230
1843,916122
1843,1044078
1925,1106523
1925,12262832
1925,6034857
1925,1081177
1925,989830
1925,909714
1925,901062
1925,1127831
1925,835300
1925,1127732
1925,878996
1925,1029743
1925,825994
1925,857006
1925,5569230
1925,863632
1925,825006
1925,1055155
1925,1086063
1925,1121193
1925,1014458
1925,854852
1925,837270
1925,916122
1925,831628
1925,873474
1925,1107173
1925,1111116
1925,1120275
1925,970202
1925,1119761
1925,866211
1925,913210
1925,904997
1925,998444
1925,890739
1925,992172
1925,1064299
1925,9836353
1925,961979
1925,1115175
1925,1009187
1925,8019902
1925,858863
1925,1024306
1925,856060
1925,6979545
1925,926523
1925,1034511
1925,1075368
1602,1006483
1602,1029743
1602,1070820
1602,10306817
1602,9836434
1602,942278
1602,1127179
1602,971983
1602,10150194
1602,1044259
1602,866211
1602,8293729
1602,1006342
1602,887393
1602,930918
1602,1023720
1602,1126899
1602,1128016
1602,944836
1602,848319
1602,877770
1602,849202
1602,6704088
1602,9677740
1602,1060705
1602,5995177
1602,1024306
1602,7441452
1602,6391381
1602,1104343
1602,1027372
1602,933361
1602,1071342
1602,1101706
1602,1119405
1602,12427353
1602,916122
1602,994223
1602,1085435
1602,1118757
1602,9837782
1602,10204559
1602,1132771
1602,951412
1602,995895
1602,953561
1602,1005456
1602,10455579
1602,1008547
1602,10457323
1804,1029743
1804,1127831
1804,823704
1804,1075007
1804,852856
1804,916993
1804,5569374
1804,948670
1804,6391289
1804,981677
1804,1072519
1804,912704
1804,1134098
1804,971922
1804,10198378
1804,951164
1804,961889
1804,913210
1804,5569471
1804,1111818
1804,916122
1804,13381458
1804,862799
1804,861821
1804,1113274
1804,10457241
1804,866755
1804,965267
1804,6514287
1804,1067748
1804,8065410
1804,999104
1804,5569230
1804,1043751
1804,1013167
1804,1105488
1804,1022097
1804,942565
1804,13213240
1804,883932
1804,1118757
1804,878996
1804,1091964
1804,8177622
1804,834117
1804,932720
1804,1004906
1804,5569845
1804,901062
1804,1135476
2455,1029743
2455,1131321
2455,5569471
2455,8020205
2455,1102416
2455,921504
2455,1137775
2455,844179
2455,1009719
2455,867447
2455,952653
